zone;base;deges;citiz
1;305.25820187397494;305.25820187397494;305.25820187397494
2;1076.164508301471;1076.164508301471;1076.164508301471
3;514.7998489230594;514.7998489230594;514.7998489230594
4;447.5395671542175;447.5395671542175;447.5395671542175
5;556.1907915500391;556.1907915500391;556.1907915500391
6;124.17282788093895;124.17282788093895;124.17282788093895
7;470.82197238189354;470.82197238189354;470.82197238189354
8;594.9948002628324;594.9948002628324;594.9948002628324
9;294.91046621723;294.91046621723;294.91046621723
10;556.1907915500391;556.1907915500391;556.1907915500391
11;734.6892316288888;734.6892316288888;734.6892316288888
12;742.4500333714475;742.4500333714475;742.4500333714475
13;478.5827741244522;478.5827741244522;478.5827741244522
14;729.5153638005163;729.5153638005163;729.5153638005163
15;1096.8599796149608;1096.8599796149608;1096.8599796149608
16;522.560650665618;522.560650665618;522.560650665618
17;421.6702280123552;421.6702280123552;421.6702280123552
18;553.6038576358528;553.6038576358528;553.6038576358528
19;983.0348873907667;983.0348873907667;983.0348873907667
20;1239.1413448952032;1239.1413448952032;1239.1413448952032
21;478.5827741244522;478.5827741244522;478.5827741244522
22;949.4047465063458;949.4047465063458;949.4047465063458
23;1153.7725257270577;1153.7725257270577;1153.7725257270577
24;1239.1413448952032;1239.1413448952032;1239.1413448952032
25;1534.0518111124334;1534.0518111124334;1534.0518111124334
