zone;base;deges;citiz
1;64227.0;76988.0;74034.0
2;68913.0;81625.0;79016.0
3;10527.0;10733.0;11033.0
4;38988.0;29415.0;40866.0
5;144032.0;157344.0;149120.0
6;3121.0;3252.0;3177.0
7;88858.0;102108.0;101932.0
8;89338.0;106531.0;107697.0
9;191179.0;170803.0;174154.0
10;13389.0;16678.0;14108.0
11;30943.0;42004.0;44756.0
12;31074.0;41422.0;43289.0
13;88712.0;88793.0;76730.0
14;198716.0;192767.0;200116.0
15;18549.0;21960.0;19683.0
16;50699.0;65047.0;64726.0
17;43550.0;46629.0;45838.0
18;56906.0;61949.0;60008.0
19;179245.0;195281.0;186769.0
20;34658.0;35583.0;34811.0
21;33808.0;36076.0;38019.0
22;64525.0;68871.0;68409.0
23;50618.0;54457.0;51432.0
24;181279.0;187676.0;186269.0
25;24434.0;24060.0;24986.0
