zone;base;base/deges;base/citiz
1;80.0;0.8;1.0
2;60.0;0.8571428571428571;1.0
3;130.0;1.3;1.1818181818181819
4;80.0;0.7272727272727273;1.0
5;360.0;1.0909090909090908;1.0
6;2770.0;0.9172185430463576;0.9518900343642611
7;4670.0;0.9265873015873016;0.9749478079331941
8;4890.0;1.0294736842105263;1.0516129032258064
9;4300.0;0.9347826086956522;0.9287257019438445
10;4570.0;0.9849137931034483;1.0223713646532437
11;4250.0;0.9837962962962963;1.0071090047393365
12;4460.0;0.971677559912854;1.0372093023255815
13;4480.0;1.0158730158730158;1.061611374407583
14;4510.0;1.0157657657657657;0.9783080260303688
15;4550.0;1.0270880361173815;1.0066371681415929
16;4840.0;1.0254237288135593;1.1
17;5080.0;1.005940594059406;1.0
18;4800.0;0.9467455621301775;0.995850622406639
19;4970.0;1.004040404040404;0.9920159680638723
20;5360.0;1.0634920634920635;1.0592885375494072
21;4310.0;0.9451754385964912;1.0286396181384247
22;3050.0;0.993485342019544;1.0481099656357389
23;1940.0;0.941747572815534;1.0104166666666667
24;680.0;0.8717948717948718;1.096774193548387
