zone;base;deges;citiz
1;20.0;10.0;30.0
2;30.0;10.0;30.0
3;10.0;10.0;0.0
4;30.0;20.0;30.0
5;60.0;60.0;90.0
6;310.0;130.0;380.0
7;550.0;240.0;790.0
8;450.0;280.0;630.0
9;780.0;410.0;830.0
10;620.0;270.0;620.0
11;580.0;360.0;800.0
12;690.0;450.0;720.0
13;770.0;500.0;830.0
14;740.0;400.0;860.0
15;680.0;440.0;750.0
16;820.0;480.0;760.0
17;920.0;490.0;730.0
18;590.0;530.0;780.0
19;820.0;530.0;920.0
20;700.0;390.0;750.0
21;740.0;420.0;820.0
22;770.0;270.0;870.0
23;530.0;190.0;640.0
24;450.0;170.0;410.0
