zone;base;base-deges;base-citiz
1;40.0;-10.0;-10.0
2;70.0;10.0;0.0
3;110.0;-30.0;-30.0
4;150.0;10.0;10.0
5;400.0;-30.0;-60.0
6;3720.0;-20.0;120.0
7;5500.0;-310.0;-160.0
8;5770.0;-40.0;150.0
9;5420.0;-120.0;90.0
10;5290.0;-80.0;-30.0
11;4940.0;-330.0;-250.0
12;5300.0;-60.0;20.0
13;4990.0;140.0;20.0
14;5290.0;90.0;-10.0
15;5790.0;-110.0;230.0
16;5730.0;330.0;150.0
17;6010.0;60.0;-110.0
18;6030.0;-170.0;-40.0
19;6360.0;180.0;110.0
20;6260.0;-270.0;-190.0
21;5680.0;-220.0;130.0
22;3730.0;-280.0;-120.0
23;1990.0;-490.0;-220.0
24;990.0;-150.0;-60.0
